,time,mag,mag_err
92,1958.2166137695312,14.063984989518362,6.093244206653006e-05
93,1958.2374267578125,14.063003445581906,6.087785072646832e-05
94,1958.2582397460938,14.06213301368178,6.0823394933341486e-05
95,1958.2791137695312,14.060711461070607,6.074529137630855e-05
96,1958.2999267578125,14.059697700562246,6.068535256344796e-05
97,1958.3207397460938,14.058664480396203,6.0623273947032084e-05
98,1958.3416137695312,14.057371203478557,6.0547707352732535e-05
99,1958.3624267578125,14.056314709836029,6.0487889088101636e-05
100,1958.3832397460938,14.055188158195556,6.042117695433578e-05
101,1958.4041137695312,14.053835201951452,6.034637969168764e-05
102,1958.4249267578125,14.052724834061992,6.028183844990314e-05
103,1958.4457397460938,14.051867978631577,6.023333326104146e-05
104,1958.4666137695312,14.051126587069664,6.018842816339885e-05
105,1958.4874267578125,14.049919560138598,6.011847937501594e-05
106,1958.5082397460938,14.048850576577653,6.005808425222312e-05
107,1958.5291137695312,14.04786581365113,6.000046554890608e-05
108,1958.5499267578125,14.046829716369631,5.994171551963583e-05
109,1958.5707397460938,14.04597419489124,5.98912621384615e-05
110,1958.5916137695312,14.044940288849666,5.983371630437911e-05
111,1958.6124267578125,14.043553795607274,5.975731366813337e-05
112,1958.6332397460938,14.042862508560647,5.9717248930263004e-05
113,1958.6541137695312,14.04225949507457,5.967676543088999e-05
114,1958.6749267578125,14.04112559868574,5.961439378476883e-05
115,1958.6957397460938,14.040284910319068,5.956483986365023e-05
116,1958.7166137695312,14.039099524762658,5.9498198922320034e-05
117,1958.7374267578125,14.038169285778215,5.944378167251362e-05
118,1958.7582397460938,14.037140259445334,5.938593070827059e-05
119,1958.7791137695312,14.036170790340627,5.932842308332078e-05
120,1958.7999267578125,14.035513166940406,5.929180890940804e-05
121,1958.8207397460938,14.034859340826126,5.925199279231316e-05
122,1958.8416137695312,14.033842778644734,5.919496464892306e-05
123,1958.8624267578125,14.032811879474142,5.91374122686187e-05
124,1958.8832397460938,14.031938333132839,5.9086556186279964e-05
125,1958.9041137695312,14.031123415197573,5.904172437066613e-05
126,1958.9249267578125,14.03019479055598,5.898554212159045e-05
127,1958.9457397460938,14.029246806905508,5.8932279719558426e-05
128,1958.9666137695312,14.02847443486007,5.8888776608440726e-05
129,1958.9874267578125,14.027721659814146,5.884658269478503e-05
130,1959.0082397460938,14.02678679514583,5.879505858331832e-05
131,1959.0291137695312,14.026195459837446,5.875782905340605e-05
132,1959.0499267578125,14.025206834149877,5.8702083842329666e-05
133,1959.0707397460938,14.024344733241357,5.865510011169271e-05
134,1959.0916137695312,14.022522997921623,5.855501669834745e-05
135,1959.1124267578125,14.022538730702015,5.855361919052085e-05
136,1959.1332397460938,14.022147226315457,5.8528700319218875e-05
137,1959.1541137695312,14.021221252431555,5.847892685468937e-05
138,1959.1749267578125,14.020541743058084,5.84394076663178e-05
139,1959.1957397460938,14.019524576087619,5.838398430384338e-05
140,1959.2166137695312,14.011694657268396,5.7962578039597855e-05
141,1959.2374267578125,14.010256726414603,5.788134951114458e-05
142,1959.2582397460938,14.011082343242894,5.7924284592042427e-05
143,1959.2791137695312,14.016809354637472,5.823050328929837e-05
144,1959.2999267578125,14.01615198854692,5.819205394461484e-05
145,1959.3207397460938,14.015626586141906,5.816284101970931e-05
146,1959.3416137695312,14.015033519938985,5.812730773030663e-05
147,1959.3624267578125,14.010349936864364,5.787324993864003e-05
148,1959.3832397460938,14.006343007202547,5.766246752118971e-05
149,1959.4041137695312,14.000490948803009,5.7349402265927704e-05
150,1959.4249267578125,14.006218738117266,5.765224427492575e-05
151,1959.4457397460938,14.011958707050514,5.795336883314725e-05
152,1959.4666137695312,14.01141906907685,5.79217213579393e-05
153,1959.4874267578125,14.01090181309009,5.789363348527486e-05
154,1959.5082397460938,14.000915385228883,5.7361762253227506e-05
155,1959.5291137695312,13.998392507756206,5.722747530394304e-05
156,1959.5499267578125,13.997628487764182,5.7184065320957925e-05
157,1959.5707397460938,13.996106042008108,5.7104844109587316e-05
158,1959.5916137695312,14.005058880379956,5.7577292993785295e-05
159,1959.6124267578125,14.007538246425373,5.7708461011061544e-05
160,1959.6332397460938,14.00437948502467,5.753833371010746e-05
161,1959.6541137695312,13.996837299310638,5.71387511311899e-05
162,1959.6749267578125,13.995154869179672,5.7048799031658086e-05
163,1959.6957397460938,13.990266340691285,5.6792062590618284e-05
164,1959.7166137695312,13.987805420223559,5.666129484710682e-05
165,1959.7374267578125,14.000200136667953,5.7310502659637396e-05
166,1959.7582397460938,14.004265227909507,5.7520129148366614e-05
167,1959.7791137695312,14.000290295404753,5.731189740216212e-05
168,1959.7999267578125,13.997298841080276,5.7153809911316886e-05
169,1959.8207397460938,13.988099978197308,5.6669177575638814e-05
170,1959.8416137695312,13.986029152003336,5.6557796832816534e-05
171,1959.8624267578125,13.985767843831507,5.654401300775832e-05
172,1959.8832397460938,13.991838956274846,5.685533351399706e-05
173,1959.9041137695312,14.000864139323273,5.7330609375174956e-05
174,1959.9249267578125,13.99533380310733,5.7034317452905085e-05
175,1959.9457397460938,13.986597337874283,5.6577582779306635e-05
176,1959.9666137695312,13.98293735512734,5.6385675990675074e-05
177,1959.9874267578125,13.981153315948102,5.6290951293205726e-05
178,1960.0082397460938,13.976567466732513,5.6051399752156855e-05
